Boro,Vol,geometry,congestion,congestion_level,timestamp,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Location Type,Street Name
Bronx,73,"POLYGON ((-73.90775266526711 40.81245929607161, -73.90775076306916 40.813831655883895, -73.9095570723184 40.81383308697624, -73.90955893726995 40.81246072713476, -73.90775266526711 40.81245929607161))",0.7588125,0,2024-01-15 08:45:00,Department of Buildings,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,,JACKSON AVENUE
Bronx,77,"POLYGON ((-73.90775266526711 40.81245929607161, -73.90775076306916 40.813831655883895, -73.9095570723184 40.81383308697624, -73.90955893726995 40.81246072713476, -73.90775266526711 40.81245929607161))",0.871229167,0,2024-01-15 09:15:00,Department of Buildings,General Construction/Plumbing,Working Contrary To Stop Work Order,,JACKSON AVENUE
Bronx,70,"POLYGON ((-73.89195243167505 40.859545771914036, -73.89195020208906 40.86091812046809, -73.89375778985601 40.860919799079625, -73.89375998214287 40.85954745049134, -73.89195243167505 40.859545771914036))",-0.33725,0,2024-02-24 09:30:00,Department of Sanitation,Graffiti,Graffiti,Comercial,WEBSTER AVENUE
Bronx,96,"POLYGON ((-73.89195243167505 40.859545771914036, -73.89195020208906 40.86091812046809, -73.89375778985601 40.860919799079625, -73.89375998214287 40.85954745049134, -73.89195243167505 40.859545771914036))",0.5396,0,2024-02-24 14:30:00,Department of Sanitation,Graffiti,Graffiti,,EAST  189 STREET
Bronx,96,"POLYGON ((-73.89195243167505 40.859545771914036, -73.89195020208906 40.86091812046809, -73.89375778985601 40.860919799079625, -73.89375998214287 40.85954745049134, -73.89195243167505 40.859545771914036))",0.5396,0,2024-02-24 14:30:00,New York City Police Department,Encampment,,Street/Sidewalk,EAST  189 STREET
Bronx,96,"POLYGON ((-73.89195243167505 40.859545771914036, -73.89195020208906 40.86091812046809, -73.89375778985601 40.860919799079625, -73.89375998214287 40.85954745049134, -73.89195243167505 40.859545771914036))",0.5396,0,2024-02-24 14:30:00,Department of Homeless Services,Encampment,,Street/Sidewalk,EAST  189 STREET
Bronx,60,"POLYGON ((-73.90775266526711 40.81245929607161, -73.90775076306916 40.813831655883895, -73.9095570723184 40.81383308697624, -73.90955893726995 40.81246072713476, -73.90775266526711 40.81245929607161))",0.393458333,0,2024-01-15 21:00:00,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,CONCORD AVENUE
Queens,18,"POLYGON ((-73.80240146876282 40.68797242598935, -73.80239740176701 40.689344807630945, -73.80420033511498 40.68934788934322, -73.80420436500361 40.6879755076387, -73.80240146876282 40.68797242598935))",0.168625,0,2024-01-19 12:15:00,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,PINEGROVE STREET
Brooklyn,234,"POLYGON ((-73.93601997464899 40.72387248144743, -73.93601865709432 40.72524485979507, -73.93782256572864 40.72524584805455, -73.93782384613581 40.72387346968676, -73.93601997464899 40.72387248144743))",0.72155814,0,2024-03-16 13:00:00,Department of Transportation,Traffic Signal Condition,Enclosure Cap,,
Queens,57,"POLYGON ((-73.80240146876282 40.68797242598935, -73.80239740176701 40.689344807630945, -73.80420033511498 40.68934788934322, -73.80420436500361 40.6879755076387, -73.80240146876282 40.68797242598935))",3.0,2,2024-01-23 15:30:00,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,PINEGROVE STREET
Queens,39,"POLYGON ((-73.80240146876282 40.68797242598935, -73.80239740176701 40.689344807630945, -73.80420033511498 40.68934788934322, -73.80420436500361 40.6879755076387, -73.80240146876282 40.68797242598935))",1.9391875,1,2024-01-23 17:30:00,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,PINEGROVE STREET
Queens,39,"POLYGON ((-73.80240146876282 40.68797242598935, -73.80239740176701 40.689344807630945, -73.80420033511498 40.68934788934322, -73.80420436500361 40.6879755076387, -73.80240146876282 40.68797242598935))",1.9391875,1,2024-01-23 17:30:00,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,PINEGROVE STREET
Brooklyn,142,"POLYGON ((-73.93601997464899 40.72387248144743, -73.93601865709432 40.72524485979507, -73.93782256572864 40.72524584805455, -73.93782384613581 40.72387346968676, -73.93601997464899 40.72387248144743))",-0.72155814,0,2024-03-17 09:00:00,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,APOLLO STREET
